Simple Interest and Compound Interest,0,0,2,0,0,1,0,0,0
Probability,0,3,0,0,1,0,0,1,0
Functions,1,3,3,0,1,1,3,1,3
Permuatations & Combinations,0,0,0,0,0,0,0,1,0
Geometry,0,4,5,0,0,1,3,6,8
Permutaions and Combinations,0,1,0,0,1,1,0,0,0
Quadratic Equations,0,4,9,0,6,1,0,3,2
Numbers,1,5,15,1,6,6,7,21,12
Number Bases,0,0,1,0,0,0,0,1,0
Logarithms,0,2,3,0,1,2,0,6,5
Co-ordinate Geometry,1,2,2,0,3,1,0,0,1
"Indices, Surds",0,0,2,0,0,1,0,0,3
Operator based,0,0,1,0,0,0,0,0,0
Statistics,1,0,1,0,0,0,0,3,2
Operator Based,0,0,1,0,1,0,0,0,1
Simple Eqations,0,0,1,0,0,0,0,0,0
Permutations and Combinations,1,1,3,0,1,3,4,13,6
Operators,0,0,1,0,0,0,0,0,0
Number Based,0,0,0,0,0,0,0,0,1
Trigonometry,0,3,2,0,0,0,2,1,0
Number Systems,0,0,2,0,0,0,0,2,3
Inequations,0,3,3,0,2,1,2,2,3
Venn Diagram,0,0,0,0,0,0,0,0,2
Coordinate Geometry,0,0,3,1,0,0,1,0,0
Graphs,0,5,1,0,1,0,1,1,0
Miscellaneous,1,9,17,0,2,3,3,10,11
Time and Distance,0,3,9,0,1,4,4,11,5
Mensuration,0,0,2,0,0,0,0,1,0
Simple Interest/Compound Interest,0,0,3,0,0,2,0,1,2
"Averages, Mixtures and Alligations",1,2,11,0,5,2,2,4,8
Geometry and Mensuration,0,6,9,2,0,3,6,11,10
Indices and Surds,0,1,9,0,1,0,0,3,3
Series,1,1,0,0,1,0,1,1,0
Operator based ,0,0,1,0,0,0,0,0,0
"Percentage, Profit and Loss",0,1,26,1,1,6,0,5,9
"Ratio, Proportion and Variation",0,3,12,0,0,2,1,4,2
Venn Diagrams,0,1,0,0,1,0,0,1,3
Simple Equations,0,6,17,0,4,2,6,10,5
Progressions,0,3,11,0,1,1,5,7,4
Time and Work,0,4,11,1,0,3,1,8,3
Equations,0,0,0,0,0,0,0,1,0
Number System,0,0,1,0,0,0,0,0,0
Co-Ordinate Geometry,0,1,1,0,0,0,0,0,0
Simple Interest/Compound interest,0,0,0,0,0,0,0,1,0
Maxima/Minima,3,6,0,0,0,1,2,1,0
Permutaitons and Combinations,0,0,0,0,0,0,0,1,1
Sets,0,0,0,0,0,0,0,0,1
